DATE,Price
2022/11/23,1162.368333
2022/11/24,1199.429583
2022/11/25,1189.794167
2022/11/26,1215.346667
2022/11/27,1214.92
2022/11/28,1172.205417
2022/11/29,1205.213333
2022/11/30,1274.108333
2022/12/1,1282.587083
2022/12/2,1281.885
2022/12/3,1275.782083
2022/12/4,1262.605
2022/12/5,1280.695417
2022/12/6,1259.187083
2022/12/7,1240.14875
2022/12/8,1246.769167
2022/12/9,1276.858333
2022/12/10,1267.680833
2022/12/11,1271.590417
2022/12/12,1254.12
2022/12/13,1294.495
2022/12/14,1323.818333
2022/12/15,1282.059583
2022/12/16,1227.9125
2022/12/17,1177.644583
2022/12/18,1183.64875
2022/12/19,1181.151667
2022/12/20,1206.144583
2022/12/21,1212.59375
2022/12/22,1209.499583
2022/12/23,1220.141667
2022/12/24,1219.91125
2022/12/25,1217.285
2022/12/26,1218.859583
2022/12/27,1217.927917
2022/12/28,1196.9275
2022/12/29,1196.785417
2022/12/30,1195.163333
2022/12/31,1198.3775
2023/1/1,1197.18125
2023/1/2,1211.82
2023/1/3,1213.76875
2023/1/4,1248.913333
2023/1/5,1251.792083
2023/1/6,1255.085417
2023/1/7,1265.265417
2023/1/8,1266.09
2023/1/9,1318.18875
2023/1/10,1330.590833
2023/1/11,1336.003333
2023/1/12,1404.418333
2023/1/13,1416.5225
2023/1/14,1535.4625
2023/1/15,1536.24
2023/1/16,1562.062917
2023/1/17,1571.714583
2023/1/18,1566.23125
2023/1/19,1532.343333
2023/1/20,1573.798333
2023/1/21,1653.395833
2023/1/22,1631.397917
2023/1/23,1631.393333
2023/1/24,1622.938333
2023/1/25,1556.73625
2023/1/26,1608.87125
2023/1/27,1585.4525
2023/1/28,1585.174583
2023/1/29,1611.44
2023/1/30,1599.70625
2023/1/31,1578.137917
2023/2/1,1590.386667
2023/2/2,1669.543377
2023/2/3,1650.106638
2023/2/4,1668.307083
2023/2/5,1651.635417
2023/2/6,1633.91
2023/2/7,1642.38625
2023/2/8,1665.358623
2023/2/9,1621.169314
2023/2/10,1536.20729
2023/2/11,1521.518478
2023/2/12,1532.65079
2023/2/13,1497.6175
2023/2/14,1523.442083
2023/2/15,1579.64625
2023/2/16,1689.119583
2023/2/17,1672.882083
2023/2/18,1693.434167
2023/2/19,1694.74125
2023/2/20,1695.77375
2023/2/21,1681.658333
2023/2/22,1633.925603
2023/2/23,1656.441667
2023/2/24,1631.664583
2023/2/25,1596.9375
2023/2/26,1608.947917
2023/2/27,1637.190417
2023/2/28,1630.32
2023/3/1,1645.73
2023/3/2,1641.853162
2023/3/3,1573.992917
2023/3/4,1569.001667
2023/3/5,1571.712083
2023/3/6,1566.532083
2023/3/7,1564.842917
2023/3/8,1556.892917
2023/3/9,1520.33
2023/3/10,1412.902083
2023/3/11,1446.66625
2023/3/12,1488.112083
2023/3/13,1629.195833
2023/3/14,1704.655
2023/3/15,1677.934814
2023/3/16,1666.120833
2023/3/17,1733.392917
2023/3/18,1812.064583
2023/3/19,1799.806667
2023/3/20,1777.463333
2023/3/21,1783.563333
2023/3/22,1794.382083
2023/3/23,1784.655417
2023/3/24,1790.977083
2023/3/25,1757.948333
2023/3/26,1770.296667
2023/3/27,1746.057083
2023/3/28,1738.87375
2023/3/29,1801.170833
2023/3/30,1794.998333
2023/3/31,1811.615417
2023/4/1,1825.150417
2023/4/2,1810.995417
2023/4/3,1799.4375
2023/4/4,1843.983333
2023/4/5,1907.00125
2023/4/6,1879.545417
2023/4/7,1863.2175
2023/4/8,1866.277917
2023/4/9,1848.029583
2023/4/10,1869.924583
2023/4/11,1913.09125
2023/4/12,1891.760833
2023/4/13,1968.289167
2023/4/14,2098.299167
2023/4/15,2097.08625
2023/4/16,2100.250833
2023/4/17,2087.98125
