Date,Gold_price,Price
2021-11-26,1800.0,4207.709042
2021-11-27,1796.6666666666667,4116.213733
2021-11-28,1793.3333333333333,4087.950781
2021-11-29,1790.0,4357.451704
2021-11-30,1800.0,4523.858194
2021-12-01,1790.0,4692.756227
2021-12-02,1770.0,4539.028
2021-12-03,1770.0,4456.387205
2021-12-04,1773.3333333333333,4004.520753
2021-12-05,1776.6666666666667,4140.337793
2021-12-06,1780.0,4132.286219
2021-12-07,1780.0,4333.23
2021-12-08,1780.0,4356.677676
2021-12-09,1780.0,4289.064996
2021-12-10,1780.0,4098.164348
2021-12-11,1783.3333333333333,4012.142278
2021-12-12,1786.6666666666667,4063.792239
2021-12-13,1790.0,3922.2001
2021-12-14,1780.0,3809.362083
2021-12-15,1770.0,3879.32
2021-12-16,1800.0,4036.783985
2021-12-17,1810.0,3901.604044
2021-12-18,1806.6666666666667,3911.442282
2021-12-19,1803.3333333333333,3947.495274
2021-12-20,1800.0,3860.678929
2021-12-21,1790.0,4002.671165
2021-12-22,1790.0,4014.67282
2021-12-23,1810.0,3993.954365
2021-12-24,1810.0,4093.513095
2021-12-25,1810.0,4072.281866
2021-12-26,1810.0,4058.273423
2021-12-27,1810.0,4070.14723
2021-12-28,1810.0,3897.722457
2021-12-29,1790.0,3781.945347
2021-12-30,1810.0,3708.939008
2021-12-31,1810.0,3732.517314
2022-01-01,1810.0,3728.245152
2022-01-02,1810.0,3771.422852
2022-01-03,1810.0,3795.8827
2022-01-04,1810.0,3783.495034
2022-01-05,1830.0,3775.35536
2022-01-06,1790.0,3470.714007
2022-01-07,1790.0,3219.948223
2022-01-08,1790.0,3168.914249
2022-01-09,1790.0,3138.28991
2022-01-10,1790.0,3138.762435
2022-01-11,1810.0,3146.564548
2022-01-12,1820.0,3294.845327
2022-01-13,1820.0,3345.624859
2022-01-14,1820.0,3263.318936
2022-01-15,1820.0,3330.85605
2022-01-16,1820.0,3324.910789
2022-01-17,1820.0,3253.684837
2022-01-18,1820.0,3161.808906
2022-01-19,1830.0,3119.0655
2022-01-20,1850.0,3154.137106
2022-01-21,1840.0,2791.934964
2022-01-22,1836.6666666666667,2434.33937
2022-01-23,1833.3333333333333,2434.154767
2022-01-24,1830.0,2325.47505
2022-01-25,1850.0,2404.884737
2022-01-26,1840.0,2499.22497
2022-01-27,1810.0,2433.527083
2022-01-28,1790.0,2442.903378
2022-01-29,1793.3333333333333,2563.377464
2022-01-30,1796.6666666666667,2600.827827
2022-01-31,1800.0,2582.658913
2022-02-01,1800.0,2755.788008
2022-02-02,1800.0,2734.80858
2022-02-03,1790.0,2643.644814
2022-02-04,1800.0,2838.189496
2022-02-05,1803.3333333333333,3012.802656
2022-02-06,1806.6666666666667,3010.119571
2022-02-07,1810.0,3100.288113
2022-02-08,1820.0,3112.057726
2022-02-09,1830.0,3159.536753
2022-02-10,1840.0,3178.577419
2022-02-11,1830.0,3052.528872
2022-02-12,1843.3333333333333,2925.460427
2022-02-13,1856.6666666666667,2910.403638
2022-02-14,1870.0,2893.82043
2022-02-15,1850.0,3080.036693
2022-02-16,1860.0,3148.222384
2022-02-17,1890.0,3019.434857
2022-02-18,1890.0,2864.632506
2022-02-19,1890.0,2779.015418
2022-02-20,1890.0,2655.843371
2022-02-21,1890.0,2695.771871
2022-02-22,1900.0,2593.889377
2022-02-23,1900.0,2644.42549
2022-02-24,1940.0,2619.338123
2022-02-25,1880.0,2664.652319
2022-02-26,1890.0,2795.92875
2022-02-27,1900.0,2779.472706
2022-02-28,1910.0,2634.010417
2022-03-01,1920.0,2886.42125
2022-03-02,1930.0,2981.942631
2022-03-03,1930.0,2885.076238
2022-03-04,1950.0,2715.57
2022-03-05,1960.0,2649.260833
2022-03-06,1970.0,2637.243344
2022-03-07,1980.0,2546.3425
2022-03-08,2040.0,2551.162083
2022-03-09,1990.0,2643.305366
2022-03-10,2000.0,2668.460833
2022-03-11,1980.0,2592.675417
2022-03-12,1970.0,2578.932083
2022-03-13,1960.0,2575.844583
2022-03-14,1950.0,2560.774583
2022-03-15,1910.0,2556.822917
2022-03-16,1910.0,2660.106667
2022-03-17,1950.0,2749.489167
2022-03-18,1940.0,2833.114583
2022-03-19,1940.0,2952.54625
2022-03-20,1940.0,2902.10125
2022-03-21,1940.0,2891.66625
2022-03-22,1920.0,2978.9575
2022-03-23,1930.0,2967.245833
2022-03-24,1970.0,3053.117493
2022-03-25,1950.0,3119.296667
2022-03-26,1946.6666666666667,3123.874583
