DATE,INFLOW_USD,OUTFLOW_USD,TOTAL_USD_VOLUME
2021/8/23,551643.2205,481010.7251,1032653.946
2021/8/24,2325836.951,1109074.108,3434911.059
2021/8/25,825240.0295,26765.52709,852005.5566
2021/8/26,3474359.283,26627.32845,3500986.611
2021/8/27,8460254.277,352745.5285,8812999.806
2021/8/28,1526411.067,165260.9934,1691672.061
2021/8/29,685875.8457,669590.6627,1355466.508
2021/8/30,6424468.755,84368.60247,6508837.357
2021/8/31,1678031.964,21231.03654,1699263.001
2021/9/1,1962283.117,26932.55968,1989215.676
2021/9/2,576122.0609,11404.67656,587526.7375
2021/9/3,1702176.576,193686.1683,1895862.744
2021/9/4,388049.9187,33312.3965,421362.3152
2021/9/5,1002146.687,867749.6865,1869896.373
2021/9/6,5867633.943,5258828.032,11126461.97
2021/9/7,3866074.502,89970.51372,3956045.016
2021/9/8,3046553.511,6494.903733,3053048.415
2021/9/9,2517280.48,53246.83069,2570527.311
2021/9/10,1305108.663,33044.62693,1338153.29
2021/9/11,2119000.941,28030.12209,2147031.063
2021/9/12,1096605.999,15684.55413,1112290.553
2021/9/13,2487396.08,737758.2528,3225154.333
2021/9/14,1343183.498,1056107.616,2399291.113
2021/9/15,850885.1438,76292.87791,927178.0217
2021/9/16,2223152.647,446762.5177,2669915.164
2021/9/17,2553801.225,1372.194068,2555173.419
2021/9/18,1123012.542,45632.60446,1168645.147
2021/9/19,1001325.756,7782.912095,1009108.668
2021/9/20,5834621.621,4550456.718,10385078.34
2021/9/21,1009392.426,3902.03991,1013294.466
2021/9/22,825121.0237,162580.5193,987701.543
2021/9/23,940321.1356,31567.10799,971888.2436
2021/9/24,529965.2398,14765.93441,544731.1742
2021/9/25,881625.4227,9895.315194,891520.7379
2021/9/26,1501107.014,7315.341865,1508422.356
2021/9/27,919817.5651,330700.8871,1250518.452
2021/9/28,302997.4469,9910.496868,312907.9438
2021/9/29,704884.6434,19532.70761,724417.351
2021/9/30,261921.443,156236.0544,418157.4973
2021/10/1,900558.385,344406.2843,1244964.669
2021/10/2,640640.0462,12717.01755,653357.0637
2021/10/3,585402.873,8196.595381,593599.4683
2021/10/4,3601855.769,307777.6715,3909633.441
2021/10/5,6507359.663,58620.43787,6565980.101
2021/10/6,4230289.205,66176.04937,4296465.254
2021/10/7,7212106.539,4633933.558,11846040.1
2021/10/8,2213599.928,32385.75061,2245985.679
2021/10/9,1311409.497,36647.54663,1348057.044
2021/10/10,1111125.288,64968.86666,1176094.155
2021/10/11,1345424.432,321335.8184,1666760.25
2021/10/12,1479308.783,3576020.291,5055329.074
2021/10/13,3074316.765,1645763.946,4720080.71
2021/10/14,878852.5477,580802.5084,1459655.056
2021/10/15,1670961.999,42350.39007,1713312.389
2021/10/16,2141405.037,50548.19481,2191953.232
2021/10/17,1746598.042,41758.3109,1788356.353
2021/10/18,920604.6753,280325.1644,1200929.84
2021/10/19,14566911.12,83250.96748,14650162.09
2021/10/20,2214185.618,816458.1028,3030643.721
2021/10/21,5499572.607,3369005.464,8868578.071
2021/10/22,639805.9353,103876.1591,743682.0944
2021/10/23,1251015.381,24885.85175,1275901.233
2021/10/24,1325113.33,75373.25615,1400486.586
2021/10/25,850004.0642,15419729.07,16269733.13
2021/10/26,724622.1173,124700.0075,849322.1248
2021/10/27,3796820.285,127170.1299,3923990.415
2021/10/28,2893449.701,73061.64834,2966511.35
2021/10/29,7266571.077,6013187.659,13279758.74
2021/10/30,1141640.27,98541.82546,1240182.096
2021/10/31,985730.9354,578892.7103,1564623.646
2021/11/1,3037312.244,2135160.563,5172472.807
2021/11/2,1188122.119,197809.1938,1385931.313
2021/11/3,1621310.35,203038.2683,1824348.618
2021/11/4,10309711,6169361.47,16479072.47
2021/11/5,3829714.637,1971168.636,5800883.273
2021/11/6,863814.6708,73492.66366,937307.3345
