DATE,TOTAL_USD_VOLUME_cex,TOTAL_USD_VOLUME_dex
2022/4/2,13232030.35,1373908922.0
2022/4/3,4650233.097,1278890023.0
2022/4/4,7239021.13,1380888287.0
2022/4/5,22513434.4,1512588634.0
2022/4/6,35326230.82,2227775561.0
2022/4/7,13409919.88,1557454444.0
2022/4/8,5423174.309,1697285238.0
2022/4/9,1736475.222,1193008125.0
2022/4/10,6593532.68,978373091.5
2022/4/11,10854727.1,2586958757.0
2022/4/12,11466152.25,1650242490.0
2022/4/13,11026883.06,1570193849.0
2022/4/14,2682995.843,1179888190.0
2022/4/15,3666847.436,890511889.2
2022/4/16,2047292.129,816453064.3
2022/4/17,2593362.133,1179560045.0
2022/4/18,14300500.67,1393633416.0
2022/4/19,10373973.17,1232718108.0
2022/4/20,19382476.12,1632705902.0
2022/4/21,8171779.658,1311350221.0
2022/4/22,5863917.124,1250505276.0
2022/4/23,6750440.456,830986566.6
2022/4/24,3734737.184,867795939.0
2022/4/25,8269264.071,1397389926.0
2022/4/26,9379089.466,1687356295.0
2022/4/27,3151947.032,1237467421.0
2022/4/28,21804252.17,1944009021.0
2022/4/29,32336331.43,1604824299.0
2022/4/30,9551516.029,3104130111.0
2022/5/1,47780386.15,1667616446.0
2022/5/2,7986536.485,1494476783.0
2022/5/3,3191721.169,1008413226.0
2022/5/4,13240259.81,1974111273.0
2022/5/5,44891777.35,1558362058.0
2022/5/6,34155305.98,1769795639.0
2022/5/7,4195441.184,1434906786.0
2022/5/8,15653316.75,2235642890.0
2022/5/9,51495827.08,3092956309.0
2022/5/10,8463381.679,2543696008.0
2022/5/11,39514695.32,3443831357.0
2022/5/12,47538061.7,3856724609.0
2022/5/13,44106046.46,2408685599.0
2022/5/14,16175116.34,2001280490.0
2022/5/15,9383889.69,1795070380.0
2022/5/16,23628476.83,2266665701.0
2022/5/17,2607651.657,1390169092.0
2022/5/18,6816172.79,1642302551.0
2022/5/19,11997088.97,1957487236.0
2022/5/20,3780943.94,2142406030.0
2022/5/21,3977319.034,977200811.3
2022/5/22,5149281.469,957825275.0
2022/5/23,7080589.753,2094025623.0
2022/5/24,4164654.822,1412171784.0
2022/5/25,1298913.783,1260281380.0
2022/5/26,26231276.76,2170582236.0
2022/5/27,11681410.6,1532186977.0
2022/5/28,23837870.95,848754995.4
2022/5/29,3423109.969,1023443297.0
2022/5/30,19522078.64,1952507283.0
2022/5/31,12632474.07,1081674514.0
2022/6/1,27804098.55,1290767136.0
2022/6/2,7936156.286,910098073.0
2022/6/3,2523976.133,843686436.7
2022/6/4,6601470.856,663377190.5
2022/6/5,8354.553305,670849149.2
2022/6/6,6730706.698,997926031.9
2022/6/7,52830550.66,1354130897.0
2022/6/8,7940183.627,1172800962.0
2022/6/9,160713.2257,770793562.6
2022/6/10,14278731.97,1717088050.0
2022/6/11,6201998.987,2035509551.0
2022/6/12,5666163.838,2163321986.0
2022/6/13,66087842.28,3493364814.0
2022/6/14,13480343.66,2333886703.0
2022/6/15,26704284.56,2381327186.0
2022/6/16,3747461.59,1489984027.0
2022/6/17,703958.5935,1311013584.0
2022/6/18,7110813.412,1753547599.0
2022/6/19,2708059.374,1505212209.0
2022/6/20,7296785.289,1173450979.0
2022/6/21,762024.1052,1052992546.0
2022/6/22,9215409.79,854164361.0
2022/6/23,28136596.91,890169744.3
2022/6/24,9039598.217,885793174.4
2022/6/25,3542370.833,767769662.1
2022/6/26,2655766.002,720348114.2
2022/6/27,4206499.42,571167876.0
2022/6/28,9898774.674,753467760.1
2022/6/29,38597.85362,871748840.5
2022/6/30,1379555.553,978908284.0
2022/7/1,381563.7,905643086.6
2022/7/2,415389.6548,846621725.0
2022/7/3,2637354.77,673316679.7
2022/7/4,2052652.939,839334583.6
2022/7/5,3219169.892,933777768.6
2022/7/6,427180.2597,931622988.4
2022/7/7,1279353.617,779697257.7
2022/7/8,1480461.559,1155903814.0
2022/7/9,49840.45987,1012120738.0
2022/7/10,1523520.678,737198926.4
2022/7/11,8897108.942,952309608.4
2022/7/12,76372.18014,896056922.4
2022/7/13,1602439.443,1141299313.0
2022/7/14,4300377.386,1193139889.0
2022/7/15,3599294.228,1441099070.0
2022/7/16,1470800.475,1343537369.0
2022/7/17,1824616.606,1500056387.0
2022/7/18,183798.8051,1719743775.0
2022/7/19,4012885.13,1804990207.0
2022/7/20,86373.37292,1521719242.0
2022/7/21,1604359.117,1607607064.0
2022/7/22,1445910.231,1755538184.0
2022/7/23,833949.0468,1417831570.0
2022/7/24,2130627.532,1361207073.0
2022/7/25,3999266.336,1783579432.0
2022/7/26,2800314.162,1260294570.0
2022/7/27,4481397.629,1999516971.0
2022/7/28,198058.1849,2033268183.0
2022/7/29,5179271.829,1830848987.0
2022/7/30,1833031.754,1357244198.0
2022/7/31,2221874.686,1218668686.0
2022/8/1,6317810.049,1662463810.0
2022/8/2,8128565.293,1486267181.0
2022/8/3,3444692.943,1228173900.0
2022/8/4,4465532.775,1062576354.0
2022/8/5,62515.98135,1450115764.0
2022/8/6,2622217.006,1275665413.0
2022/8/7,3404595.433,1272334853.0
2022/8/8,10068965.57,1867903757.0
2022/8/9,4984140.06,1488047412.0
2022/8/10,135227.5679,1763737691.0
2022/8/11,994640.5317,1741141645.0
2022/8/12,560318.6428,1702353818.0
2022/8/13,1590754.742,2079751939.0
2022/8/14,1152881.595,1348446255.0
2022/8/15,19629849.05,1929537749.0
2022/8/16,1262556.195,1390240465.0
2022/8/17,3083466.593,2350249293.0
2022/8/18,1511009.089,1920901731.0
2022/8/19,3667730.356,2421016064.0
2022/8/20,5512081.731,1687943941.0
2022/8/21,5318916.898,2077897650.0
2022/8/22,1709461.347,1402108199.0
2022/8/23,16158059.28,1474349318.0
2022/8/24,5848897.876,1373059969.0
2022/8/25,63825.48152,1403649097.0
2022/8/26,2554149.882,1786418359.0
2022/8/27,1720528.897,1221305977.0
2022/8/28,749139.6601,1152089350.0
2022/8/29,2885081.896,957890008.1
2022/8/30,2797907.804,1325334883.0
2022/8/31,1024845.281,1154306718.0
2022/9/1,1257242.373,1116462252.0
2022/9/2,2879481.327,1336256243.0
2022/9/3,130117.9157,890565304.4
2022/9/4,73950.08905,702555726.5
2022/9/5,2053835.831,1022220804.0
2022/9/6,117684.9209,1402391301.0
2022/9/7,3088157.552,1075928510.0
2022/9/8,4448587.556,965098580.6
2022/9/9,4304176.039,1004571975.0
2022/9/10,2823917.516,1042761621.0
2022/9/11,1658334.707,1053784690.0
2022/9/12,20664227.55,1347030534.0
2022/9/13,3577895.098,1646735007.0
2022/9/14,4356760.229,1512159467.0
2022/9/15,19656026.59,1302093076.0
2022/9/16,2203802.393,1028691957.0
2022/9/17,5367719.676,720672449.6
2022/9/18,1396447.257,901957750.5
2022/9/19,3803936.45,1122850879.0
2022/9/20,56843.31433,892143502.5
2022/9/21,3170135.739,1535582292.0
2022/9/22,3603316.23,1291145056.0
2022/9/23,2966117.848,1546045976.0
2022/9/24,3105475.347,1388305361.0
2022/9/25,1953359.183,1037743209.0
2022/9/26,1261973.189,1317817329.0
2022/9/27,2824258.742,1664326765.0
2022/9/28,28440727.85,1524866270.0
