DATE,INFLOW_USD,OUTFLOW_USD,TOTAL_USD_VOLUME
00:00.0,1246116815,1716941.836,1247833757
00:00.0,1468131869,2107256.432,1470239126
00:00.0,1915468138,2385522.452,1917853661
00:00.0,2003839271,2624942.95,2006464214
00:00.0,2996187086,10104946.84,3006292033
00:00.0,2183489129,2309134.496,2185798264
00:00.0,970146510,827989.6042,970974499.6
00:00.0,2038014567,3250528.316,2041265096
00:00.0,1449707431,1541934.238,1451249365
00:00.0,1683104237,4101849.456,1687206087
00:00.0,1616036169,1741804.005,1617777973
00:00.0,1421483889,1601928.956,1423085818
00:00.0,1006052455,1219278.204,1007271733
00:00.0,1033620548,2033201.753,1035653750
00:00.0,1614852822,2018511.254,1616871333
00:00.0,2083702424,2385849.498,2086088273
00:00.0,1775476293,6108998.74,1781585291
00:00.0,1952612239,5306634.504,1957918873
00:00.0,3558979607,38958699.96,3597938307
00:00.0,2794646208,23099395.94,2817745604
00:00.0,1670853035,11252475.62,1682105511
00:00.0,3045764715,39670655.5,3085435370
00:00.0,1379877110,180169852.2,1560046962
00:00.0,1884618241,72845965.5,1957464206
00:00.0,1565984489,19417455.57,1585401944
00:00.0,1187601929,21470987.58,1209072916
00:00.0,939955151.4,176200196.3,1116155348
00:00.0,817006746.3,19686355.81,836693102.1
00:00.0,996136996.2,23702221.58,1019839218
00:00.0,1318546688,18700474.07,1337247162
00:00.0,1351634748,21221283.33,1372856031
00:00.0,1184900607,19050618.24,1203951226
00:00.0,1208756743,10466910.29,1219223653
00:00.0,1329141520,13945595.73,1343087115
00:00.0,1108191923,9431731.231,1117623654
00:00.0,1269840958,20100598.93,1289941557
00:00.0,1350386401,6885201.464,1357271603
00:00.0,1302430624,15012265.86,1317442889
00:00.0,2149535546,209685698.9,2359221245
00:00.0,1792660875,13347794.38,1806008670
00:00.0,1199729791,3057770.566,1202787561
00:00.0,947918925.3,3082150.197,951001075.5
00:00.0,1182896625,5606410.851,1188503036
00:00.0,1392552745,3308181.979,1395860927
00:00.0,1142435087,9298128.253,1151733215
00:00.0,1596568314,38896368.85,1635464683
00:00.0,1252996045,2903444.163,1255899489
00:00.0,789088560.8,42582537.5,831671098.3
00:00.0,2510132313,2275782.889,2512408096
00:00.0,1609124544,2006486.003,1611131031
00:00.0,1161579994,1755646.063,1163335640
00:00.0,1144373044,5154576.528,1149527620
00:00.0,3680826036,8014638.549,3688840675
00:00.0,1670424916,2337923.26,1672762839
00:00.0,1066131533,4802393.441,1070933926
00:00.0,1608311011,3528501.882,1611839513
00:00.0,1803186406,5054389.538,1808240796
00:00.0,1682094733,2909638.101,1685004371
00:00.0,1904104450,17432817.44,1921537268
00:00.0,1070855581,2826921.727,1073682503
00:00.0,1540098567,9777595.042,1549876162
00:00.0,913099686.7,4011620.628,917111307.3
00:00.0,917832982.1,5747909.022,923580891.2
00:00.0,1295510748,9188007.531,1304698756
00:00.0,2171908900,2260740.841,2174169641
00:00.0,1360940607,48585114.65,1409525722
00:00.0,1180152773,60434916.79,1240587690
00:00.0,1143713583,7675578.365,1151389162
00:00.0,1069810507,4732822.54,1074543330
00:00.0,981612066.1,10478800.85,992090866.9
00:00.0,1339256916,1817315.313,1341074232
00:00.0,1170255196,8511279.649,1178766476
00:00.0,1607521600,7444240.536,1614965841
00:00.0,1553920668,2734181.012,1556654849
00:00.0,2056298274,8089533.643,2064387807
00:00.0,1389094622,10462045.82,1399556667
00:00.0,1332636817,3722031.401,1336358849
00:00.0,1327717739,3412869.446,1331130608
00:00.0,1504010842,9164955.494,1513175798
00:00.0,1097821492,1532495.281,1099353988
00:00.0,1417381436,2607928.763,1419989365
00:00.0,1556508281,2980942.301,1559489223
00:00.0,1101661052,11699108.17,1113360160
00:00.0,1320556699,2256612.461,1322813311
00:00.0,1572166814,5492092.927,1577658907
00:00.0,1743871363,1288912.618,1745160275
00:00.0,1526518884,17990474.13,1544509358
00:00.0,1468224162,12584458.62,1480808621
00:00.0,1422987291,7732843.964,1430720135
00:00.0,1367617338,6291584.117,1373908922
00:00.0,1272102933,6787090.765,1278890023
00:00.0,1377560354,3327933.465,1380888287
00:00.0,1510223080,2365554.611,1512588634
00:00.0,2224065971,3709590.533,2227775561
00:00.0,1550451551,7002892.845,1557454444
00:00.0,1693917364,3367874.136,1697285238
00:00.0,1192384460,623664.9444,1193008125
00:00.0,977632778.6,740312.8592,978373091.5
00:00.0,2585082129,1876628.091,2586958757
00:00.0,1646976611,3265878.987,1650242490
00:00.0,1558896969,11296880.38,1570193849
00:00.0,1176624273,3263917.43,1179888190
00:00.0,880933525.3,9578363.928,890511889.2
00:00.0,816137480.7,315583.6302,816453064.3
00:00.0,1178605895,954150.6989,1179560045
00:00.0,1391932363,1701053.702,1393633416
00:00.0,1222734132,9983975.871,1232718108
00:00.0,1594345671,38360230.7,1632705902
00:00.0,1310923966,426254.8137,1311350221
00:00.0,1247734897,2770378.757,1250505276
00:00.0,828302840.4,2683726.238,830986566.6
00:00.0,866091000.6,1704938.34,867795939
00:00.0,1395920962,1468964.05,1397389926
00:00.0,1686306752,1049543.076,1687356295
00:00.0,1235597070,1870351.605,1237467421
00:00.0,1942788118,1220902.276,1944009021
00:00.0,1603561429,1262869.513,1604824299
00:00.0,3081348741,22781370.49,3104130111
00:00.0,1656274596,11341850.39,1667616446
00:00.0,1493314945,1161837.776,1494476783
00:00.0,1006384695,2028531.024,1008413226
00:00.0,1971948045,2163228.523,1974111273
00:00.0,1547105517,11256541.43,1558362058
00:00.0,1760233559,9562079.524,1769795639
00:00.0,1401188683,33718103.32,1434906786
00:00.0,2235351914,290976.4735,2235642890
00:00.0,3091915499,1040809.867,3092956309
00:00.0,2539920229,3775778.857,2543696008
00:00.0,3439556801,4274556.727,3443831357
00:00.0,3847730481,8994128.342,3856724609
00:00.0,2399516131,9169467.756,2408685599
00:00.0,1998677396,2603093.915,2001280490
00:00.0,1790011592,5058787.904,1795070380
00:00.0,2262464227,4201473.672,2266665701
00:00.0,1347350688,42818404.07,1390169092
00:00.0,1637694416,4608135.106,1642302551
00:00.0,1955724018,1763217.939,1957487236
00:00.0,2140288983,2117046.614,2142406030
00:00.0,976681340.7,519470.5136,977200811.3
00:00.0,957501862.6,323412.4088,957825275
00:00.0,2092603433,1422190.667,2094025623
00:00.0,1411847955,323828.9189,1412171784
00:00.0,1260183325,98054.71783,1260281380
00:00.0,2168767551,1814685.379,2170582236
00:00.0,1532073341,113635.9463,1532186977
00:00.0,848441031.6,313963.7692,848754995.4
00:00.0,1021962589,1480707.93,1023443297
00:00.0,1945823262,6684020.306,1952507283
00:00.0,1081380215,294299.0761,1081674514
00:00.0,1288665610,2101525.249,1290767136
00:00.0,909934005.6,164067.4322,910098073
00:00.0,842050486,1635950.724,843686436.7
00:00.0,663356344.9,20845.57893,663377190.5
00:00.0,670559295,289854.2113,670849149.2
00:00.0,997080176,845855.8972,997926031.9
00:00.0,1351478291,2652605.853,1354130897
00:00.0,1169449994,3350968.374,1172800962
00:00.0,769299960.6,1493602.033,770793562.6
00:00.0,1716502593,585457.4096,1717088050
00:00.0,2033878185,1631366.168,2035509551
00:00.0,2162098588,1223397.921,2163321986
00:00.0,3490513639,2851175.365,3493364814
00:00.0,2331718864,2167838.875,2333886703
00:00.0,2380264048,1063137.495,2381327186
00:00.0,1489779876,204150.5358,1489984027
00:00.0,1310663359,350225.6087,1311013584
00:00.0,1751620768,1926830.929,1753547599
00:00.0,1504713518,498690.5818,1505212209
00:00.0,1172726357,724621.5733,1173450979
00:00.0,1051605418,1387128.07,1052992546
00:00.0,853805373.5,358987.4673,854164361
00:00.0,888970337.1,1199407.227,890169744.3
00:00.0,884606496.3,1186678.149,885793174.4
00:00.0,767655371.6,114290.5285,767769662.1
00:00.0,720261084.2,87030.05789,720348114.2
00:00.0,571075711.8,92164.15778,571167876
00:00.0,753417403.5,50356.60605,753467760.1
00:00.0,871694198.9,54641.59542,871748840.5
00:00.0,978862132,46151.9739,978908284
00:00.0,904569099,1073987.616,905643086.6
00:00.0,846512698.6,109026.3748,846621725
00:00.0,673278557.1,38122.6291,673316679.7
00:00.0,839281821.1,52762.49702,839334583.6
00:00.0,933473677.4,304091.2565,933777768.6
00:00.0,930934542.2,688446.1814,931622988.4
00:00.0,779430788.9,266468.774,779697257.7
00:00.0,1155703176,200638.2164,1155903814
00:00.0,1012023615,97122.69133,1012120738
00:00.0,737091976.9,106949.5586,737198926.4
00:00.0,952189518.8,120089.6705,952309608.4
00:00.0,895773940.2,282982.1565,896056922.4
00:00.0,1141125078,174235.3867,1141299313
00:00.0,1193085700,54188.64317,1193139889
00:00.0,1440944069,155001.3904,1441099070
00:00.0,1343331192,206177.2513,1343537369
00:00.0,1499877779,178607.2268,1500056387
00:00.0,1719507836,235938.9541,1719743775
00:00.0,1804921586,68621.32819,1804990207
00:00.0,1521666737,52504.99188,1521719242
00:00.0,1607562904,44160.28048,1607607064
00:00.0,1754786384,751800.1024,1755538184
00:00.0,1417722456,109113.4998,1417831570
00:00.0,1361166309,40763.67707,1361207073
00:00.0,1783499156,80275.85356,1783579432
00:00.0,1260281298,13272.35407,1260294570
00:00.0,1999348100,168871.4936,1999516971
00:00.0,2033193459,74724.59154,2033268183
00:00.0,1830590484,258502.8935,1830848987
00:00.0,1357067661,176536.3292,1357244198
00:00.0,1218655026,13659.91825,1218668686
00:00.0,1661966338,497471.6895,1662463810
00:00.0,1486081547,185634.855,1486267181
00:00.0,1228092490,81409.44543,1228173900
00:00.0,1062532283,44071.25607,1062576354
00:00.0,1449895973,219791.7281,1450115764
00:00.0,1275602509,62903.33559,1275665413
00:00.0,1272052679,282174.3664,1272334853
00:00.0,1866834302,1069455.483,1867903757
00:00.0,1486599826,1447585.381,1488047412
00:00.0,1761434466,2303224.446,1763737691
00:00.0,1741013356,128288.8706,1741141645
00:00.0,1702143525,210293.0692,1702353818
00:00.0,2079252361,499578.1098,2079751939
00:00.0,1347919493,526761.9951,1348446255
00:00.0,1661845453,267692295.4,1929537749
00:00.0,1390147511,92954.95839,1390240465
00:00.0,2350162807,86486.09999,2350249293
00:00.0,1920864795,36936.98445,1920901731
00:00.0,2420939220,76844.58398,2421016064
00:00.0,1686598863,1345078.05,1687943941
00:00.0,2077873837,23813.09526,2077897650
00:00.0,1286052671,116055528.6,1402108199
00:00.0,1474255823,93494.5618,1474349318
00:00.0,1373018789,41180.10439,1373059969
00:00.0,1403594836,54260.53166,1403649097
00:00.0,1786230887,187471.8722,1786418359
00:00.0,1219869345,1436632.02,1221305977
00:00.0,1151971899,117450.8573,1152089350
00:00.0,957868453.3,21554.77706,957890008.1
00:00.0,1325233612,101271.0093,1325334883
00:00.0,1153527887,778830.8831,1154306718
00:00.0,1113731035,2731217.357,1116462252
00:00.0,1336051265,204978.1025,1336256243
00:00.0,890044441.5,520862.9217,890565304.4
00:00.0,701891212,664514.5678,702555726.5
00:00.0,1022025727,195077.4167,1022220804
00:00.0,1399929955,2461345.946,1402391301
00:00.0,1074503698,1424811.701,1075928510
00:00.0,954526016.8,10572563.79,965098580.6
00:00.0,1004045667,526307.4535,1004571975
00:00.0,1041297538,1464082.278,1042761621
00:00.0,1050730310,3054379.337,1053784690
00:00.0,1342072444,4958089.787,1347030534
00:00.0,1642309952,4425055.828,1646735007
00:00.0,1489881635,22277831.5,1512159467
00:00.0,1300786154,1306922.073,1302093076
00:00.0,1028169688,522268.414,1028691957
00:00.0,720561752.2,110697.3116,720672449.6
