AuthorID,Author,Date,Content,Attachments,Reactions,
6.62233E+17,lenelle,2021-09-10T03:21:19.9710000-04:00,"Slash commands are disable because it allows access to Captcha bot's configurations which can affect the security of the server.

Moderators can use quick features like mute, kick, ban etc by tapping/clicking on member's name on the name list",,,
6.62233E+17,lenelle,2021-09-10T03:22:28.3060000-04:00,You can find the list of things you can do with the document I have shared or you can find it on the Discord registration form's summary,,,
8.85107E+17,killuabnb,2021-09-10T05:08:38.2490000-04:00,Hi,,,
6.62233E+17,lenelle,2021-09-10T05:08:59.7050000-04:00,https://tenor.com/view/waving-hello-friend-kitty-cat-hi-gif-16726289,,,
6.63105E+17,sonic9082,2021-09-10T05:13:08.0960000-04:00,Hellow hellow,,,
6.63105E+17,sonic9082,2021-09-10T05:13:51.8220000-04:00,:bitcoin1:,,,
6.62233E+17,lenelle,2021-09-10T05:14:05.0160000-04:00,Hello Sonic! I mean Ribka! 🤩,,,
6.63105E+17,sonic9082,2021-09-10T05:14:53.6320000-04:00,:waystoearnbitcoin:,,,
6.62233E+17,lenelle,2021-09-10T05:15:10.0600000-04:00,"Congrats! You are the first one that uses the emoji I just uploaded !!!!!

💪 💪 💪 💪 💪 💪 💪 💪 💪 💪 💪 💪 💪 💪",,,
6.63105E+17,sonic9082,2021-09-10T05:15:23.2560000-04:00,Yaaaaaaaaaaay to ze 🌙,,,
5.44839E+17,dml25,2021-09-10T05:16:01.3860000-04:00,wow 🤗🤗🤗,,,
6.63105E+17,sonic9082,2021-09-10T05:16:04.1280000-04:00,Hey sisso,,,
5.44839E+17,dml25,2021-09-10T05:16:17.1480000-04:00,hey sisso Ribka!! 🤗🤗,,,
6.62233E+17,lenelle,2021-09-10T05:16:28.8200000-04:00,Watch out! We have Binance Angel role in the house 😄,,,
6.63105E+17,sonic9082,2021-09-10T05:16:41.6350000-04:00,Where,,,
5.44839E+17,dml25,2021-09-10T05:16:45.2850000-04:00,Nice Lenelle! 🤗🤗,,,
6.62233E+17,lenelle,2021-09-10T05:16:55.6070000-04:00,"Someone with ""Golden"" colour name",,,
6.63105E+17,sonic9082,2021-09-10T05:17:09.3740000-04:00,It's dml😇,,,
5.44839E+17,dml25,2021-09-10T05:17:09.7960000-04:00,whoooaaa!!! 😲😲😲,,,
6.62233E+17,lenelle,2021-09-10T05:17:23.6580000-04:00,Don't ban me plz,,,
8.85107E+17,killuabnb,2021-09-10T05:17:29.6130000-04:00,:ex_binance:,,,
5.44839E+17,dml25,2021-09-10T05:17:32.0090000-04:00,It looks I'm too loud here 😁😁😁,,,
5.44839E+17,dml25,2021-09-10T05:17:54.0670000-04:00,Oh my you're the damn boss here 😁😁,,,
